頁面,分頁/區塊,欄位名稱,元件類型,預設值/選項,說明
②手動回測,均線參數,MA1,數字輸入,5,均線1週期
②手動回測,均線參數,MA2,數字輸入,10,均線2週期
②手動回測,均線參數,MA3,數字輸入,20,均線3週期
②手動回測,均線參數,MA4,數字輸入,60,均線4週期
②手動回測,均線參數,MA5(長期),數字輸入,240,均線5週期(長期線)
②手動回測,均線參數,多空排用幾條,下拉選單,4條(MA1>2>3>4) / 3條(MA1>2>3),判斷多排/空排要看幾條均線
②手動回測,均線參數,走勢判斷回看(根),數字輸入,5,走勢斜率計算回看根數
②手動回測,均線參數,走勢門檻(點/根),數字輸入,0,斜率門檻；0=只要不為0就算有走勢
②手動回測,回測設定,回測週期,下拉選單,日線 / 60分 / 30分 / 15分 / 5分 / 跨週期,選跨週期則進出場週期可各自選
②手動回測,回測設定,進場價,下拉選單,當根收盤 / 次根開盤,進場成交價基準
②手動回測,回測設定,每點價值(元),下拉選單,10(微台) / 50(小台) / 200(大台) / 100(個股期) / 500(個股期),
②手動回測,回測設定,來回成本(點),數字輸入,2,每筆交易扣除成本
②手動回測,回測設定,觸及容差(%),數字輸入,0.3,支撐/壓力觸及判定容差
②手動回測,1 進場,方向,切換按鈕,做多 / 做空,
②手動回測,1 進場,開高走低日不做多排(bull),勾選框,預設不勾,首根K開最高收黑當天整天不用多排條件進場
②手動回測,1 進場,開高走低日整天不進場(多空都不做),勾選框,預設不勾,首根K開最高收黑當天整天不進場(不分方向)
②手動回測,1 進場,只做日盤(夜盤不進場),勾選框,預設不勾,只在08:45-13:45才進場，夜盤不開新倉
②手動回測,1 進場,進場週期,下拉選單,依已匯入週期,僅跨週期模式顯示
②手動回測,1 進場,首次進場條件,條件chip(可開全部條件picker),預設[多排],空手時要全部成立才進場
②手動回測,1 進場,再次進場條件,勾選+條件chip,預設不啟用,出場後改用這組(通常較嚴格)；不啟用則沿用首次進場
②手動回測,1 進場,60K策略庫,按鈕+表格(8組預設組合),,一鍵套用多/空排列組合；可勾疊加模式
②手動回測,2 出場,出場週期,下拉選單,依已匯入週期,僅跨週期模式顯示
②手動回測,2 出場,出場條件,條件chip(可開全部條件picker),預設[死亡交叉],持倉時任一成立就出場
②手動回測,2 出場-風控,停損(點),勾選+數字輸入,預設勾選/80,
②手動回測,2 出場-風控,停利(點),勾選+數字輸入,預設不勾/150,
②手動回測,2 出場-風控,移動停損 回吐(點),勾選+數字輸入,預設不勾/60,
②手動回測,2 出場-風控,夜盤不停損,勾選框,預設不勾,夜盤持倉不查停損/停利/移動停損(訊號出場照常)
②手動回測,2 出場-風控,壓力支撐過濾(60分/日線),勾選框,預設不勾,進場價碰到60分/日線壓撐就不進
②手動回測,2 出場-風控,遇壓撐出場,勾選框,預設不勾,持倉碰到大週期壓力/支撐就出場
②手動回測,2 出場-風控,當日平倉(不留倉過夜),勾選框,預設不勾,日盤最後一根K強制平倉
②手動回測,2 出場-風控,半夜12點後不留倉,勾選框,預設不勾,夜盤跨午夜前最後一根K強制平倉
②手動回測,3 算倉位,本金(元),數字輸入,500000,
②手動回測,3 算倉位,月目標(元),數字輸入,100000,
②手動回測,3 算倉位,試算商品,下拉選單,微台(10元/點) / 小台(50元/點) / 大台(200元/點),
②手動回測,3 算倉位,保證金/口(元),數字輸入,9200,隨商品自動帶入，可自行改
②手動回測,3 算倉位,單筆風險上限(%),數字輸入,1.5,單筆停損最多虧本金百分之幾
②手動回測,3 算倉位,首單比例(%),數字輸入,50,第一次進場先下總口數的幾成
③自動最佳化,1 單週期,最佳化週期,下拉選單,依已匯入週期,在這個週期的K棒上找最佳組合
③自動最佳化,1 單週期,找方向,下拉選單,多空都找 / 只找做多 / 只找做空,
③自動最佳化,1 單週期,多空排用幾條,下拉選單,4條 / 3條 / 3條和4條都測,
③自動最佳化,1 單週期,排序依據,下拉選單,勝率 / 總點數 / 期望值(點/筆) / 獲利因子 / 報酬回撤比(安全) / 最大回撤最小(最安全),
③自動最佳化,1 單週期,出場方式,下拉選單,訊號+掃停損停利點數 / 只用訊號(不設點數停損停利),
③自動最佳化,1 單週期,最少交易次數,數字輸入,30,
③自動最佳化,1 單週期,樣本內比例(%),數字輸入,70,前面比例找最佳組合、剩下驗證樣本外
③自動最佳化,2 跨週期,做,下拉選單,多 / 空,
③自動最佳化,2 跨週期,週期配對,下拉選單,用指定的進/出場週期 / 自動比對所有週期配對,
③自動最佳化,2 跨週期,進場週期,下拉選單,依已匯入週期,
③自動最佳化,2 跨週期,出場週期,下拉選單,依已匯入週期,
③自動最佳化,2 跨週期,多空排用幾條,下拉選單,4條 / 3條 / 3和4都測,
③自動最佳化,2 跨週期,排序依據,下拉選單,同單週期6種,
③自動最佳化,2 跨週期,最少交易次數,數字輸入,20,
③自動最佳化,2 跨週期,樣本內比例(%),數字輸入,70,
③自動最佳化,3 共用選項,納入壓力支撐過濾(60分/日線),勾選框,預設不勾,實驗性；會同時測有無過濾
③自動最佳化,3 共用選項,夜盤不停損,勾選框,預設不勾,僅日盤執行停損停利
③自動最佳化,3 共用選項,加停損(點),勾選+數字輸入,預設不勾/80,勾了兩邊都用固定點數；不勾單週期自動掃描
③自動最佳化,3 共用選項,加移動停損(點),勾選+數字輸入,預設不勾/80,回吐鎖利
③自動最佳化,3 共用選項,搜尋「再次進場」條件,勾選框,預設不勾,實驗性，僅跨週期引擎支援
③自動最佳化,3 共用選項,開高走低日不做多排(bull),勾選框,預設不勾,
③自動最佳化,3 共用選項,開高走低日整天不進場(多空都不做),勾選框,預設不勾,
③自動最佳化,3 共用選項,只做日盤(夜盤不進場),勾選框,預設不勾,
③自動最佳化,3 共用選項,當日平倉(不留倉過夜),勾選框,預設不勾,
③自動最佳化,3 共用選項,半夜12點後不留倉,勾選框,預設不勾,

