方向,分類,代碼,名稱,定義說明
多,排列/趨勢,bull,多排,均線多頭排列：MA1>MA2>MA3>MA4（在「多空排用幾條」設3條時只看 MA1>MA2>MA3）
多,排列/趨勢,trendUp,走勢↑,走勢向上：最近 N 根（走勢判斷回看）收盤的線性回歸斜率 > 走勢門檻（每根平均往上超過 X 點）
多,排列/趨勢,bullK3,60K三線多排,60K三線多排：MA1>MA3>MA4（預設 5>20>60 三線全多排）＝多頭趨勢確認，配重倉多
多,排列/趨勢,loseBear,空排消失,原本的空頭排列不再成立（提醒空單風險降低／偏多轉折）
多,均線位置(站上/跌破),overMA1,站上MA5,收盤站上 MA1（預設5）
多,均線位置(站上/跌破),overMA2,站上MA10,收盤站上 MA2（預設10）
多,均線位置(站上/跌破),overMA3,站上MA20,收盤站上 MA3（預設20）
多,均線位置(站上/跌破),overMA4,站上MA60,收盤站上 MA4（預設60）
多,均線位置(站上/跌破),overMA5,站上MA240,收盤站上 MA5（預設240長期線）
多,交叉/穿越,goldX,黃金交叉(MA1↑MA2),黃金交叉：MA1 由下往上穿過 MA2（快線升破慢線）
多,交叉/穿越,xUp4,價穿MA60↑,前一根收盤在 MA4(60)之下、這根收盤站上 MA4＝向上突破60均（60/60 突破偏多）。用已收完K棒判斷，非未來函數
多,均線拐點/斜率,ma3Up,MA20上揚,MA3(60分預設20)這條均線最近 N 根(走勢判斷回看)的斜率>0＝20均翻揚（60/20 表態向上）
多,均線拐點/斜率,ma1TurnUp,MA5剛上彎,MA5(60/5)前一根還在走平或下彎、這根轉為上升＝MA5 在這根剛拐頭向上。只在轉折當根成立，比「持續上揚」更早抓到轉向
多,均線拐點/斜率,ma4TurnUp,MA60剛上彎,MA60(60/60)前一根走平或下彎、這根轉升＝主軸均線剛翻揚，趨勢由弱轉強的重要訊號
多,K棒型態,red,紅K,紅K：收盤 > 開盤
多,K棒型態,strRed,強紅K,強紅K（大陽線）：紅K 且實體(收-開) ≥ 整根K棒高低幅的 60%
多,K棒型態,longLow,長下影,長下影：下影線 ≥ 整根K棒高低幅的 50%（下方被買回，探底訊號）
多,K棒型態,red2,連續2紅K,連續2根紅K（這根與前一根都收紅，動能延續）
多,K棒型態,red3,連續3紅K,連續3根紅K（連三紅，追多動能）
多,壓撐/位置,sup,MA支撐,MA支撐：盤中最低觸及 MA3(20) 或 MA4(60) 附近，但收盤仍站在該均線之上（被均線撐住）
多,壓撐/位置,supL,左側支撐(收腳),這根最低觸及「左邊已確認的轉折低點」(容差內)，但收盤守在其上且留下影＝在左邊平台低點收腳。轉折低＝左右各3根的區域最低、且已收完才確認，因果安全
多,壓撐/位置,nearHigh,貼近期高(突破),貼近期高：收盤落在「近20根最高價(含這根)」的 0.5% 內＝收在近期高檔。這根創新高且收高檔＝突破確認、沒創新高＝逼近前高
多,布林通道(20,2σ),bbUpBk,突破布林上軌,前一根收盤還在上軌內、這根收盤站上上軌(20,2σ)＝波動放大向上表態（順勢追多訊號；空頭中也可能是逃命波，配趨勢條件用）
多,布林通道(20,2σ),bbLowT,觸布林下軌(收回),盤中最低碰到下軌但收盤收回軌內＝下軌承接、超跌反彈的逆勢買訊（配長下影/紅K更穩）
多,布林通道(20,2σ),bbMidUp,站上布林中軌,站上布林中軌：收盤 > 中軌(20MA)＝短多方掌控；中軌之上偏多操作
空,排列/趨勢,bear,空排,均線空頭排列：MA1<MA2<MA3<MA4（設3條時只看 MA1<MA2<MA3）
空,排列/趨勢,trendDn,走勢↓,走勢向下：最近 N 根收盤的回歸斜率 < −走勢門檻（每根平均往下超過 X 點）
空,排列/趨勢,bearK3,60K三線空排,60K三線空排：MA1<MA3<MA4（5<20<60 全空排）＝空頭趨勢確認，配重倉空
空,排列/趨勢,loseBull,多排消失,原本的多頭排列不再成立（提醒多單風險升高／偏空轉折）
空,均線位置(站上/跌破),underMA1,跌破MA5,收盤跌破 MA1（預設5）
空,均線位置(站上/跌破),underMA2,跌破MA10,收盤跌破 MA2（預設10）
空,均線位置(站上/跌破),underMA3,跌破MA20,收盤跌破 MA3（預設20）
空,均線位置(站上/跌破),underMA4,跌破MA60,收盤跌破 MA4（預設60）
空,均線位置(站上/跌破),underMA5,跌破MA240,收盤跌破 MA5（預設240）
空,交叉/穿越,deadX,死亡交叉(MA1↓MA2),死亡交叉：MA1 由上往下跌破 MA2（快線跌破慢線）
空,交叉/穿越,xDn4,價穿MA60↓,前一根收盤在 MA4(60)之上、這根收盤跌破 MA4＝向下跌破60均（60/60 破線偏空）
空,均線拐點/斜率,ma3Dn,MA20下彎,MA3(20)最近 N 根斜率<0＝20均下彎（60/20 表態向下）
空,均線拐點/斜率,ma1TurnDn,MA5剛下彎,MA5 前一根還在走平或上揚、這根轉為下降＝MA5 剛拐頭向下（短線轉弱的早訊）
空,均線拐點/斜率,ma4TurnDn,MA60剛下彎,MA60 前一根走平或上揚、這根轉跌＝主軸均線剛拐頭向下（「60/60 過去後注意下殺」常看這個）
空,K棒型態,green,黑K,黑K：收盤 < 開盤
空,K棒型態,strGreen,強黑K,強黑K（大陰線）：黑K 且實體 ≥ 高低幅的 60%
空,K棒型態,longUp,長上影,長上影：上影線 ≥ 整根K棒高低幅的 50%（上方被壓回，賣壓訊號）
空,K棒型態,green2,連續2黑K,連續2根黑K（這根與前一根都收黑，殺盤延續）
空,K棒型態,green3,連續3黑K,連續3根黑K（連三黑，殺盤動能）
空,壓撐/位置,res,MA壓力,MA壓力：盤中最高觸及 MA3(20) 或 MA4(60) 附近，但收盤仍在該均線之下（被均線壓回）
空,壓撐/位置,resL,左側壓力(壓回),這根最高觸及「左邊已確認的轉折高點」(容差內)，但被壓回收在其下且留上影＝在左邊高點被壓回。轉折高＝左右各3根的區域最高、已確認，因果安全
空,壓撐/位置,nearLow,貼近期低(破底),貼近期低：收盤落在「近20根最低價(含這根)」的 0.5% 內＝收在近期低檔＝破底或逼近前低
空,布林通道(20,2σ),bbDnBk,跌破布林下軌,前一根收盤還在下軌內、這根收盤跌破下軌＝波動放大向下表態（順勢追空訊號）
空,布林通道(20,2σ),bbUpT,觸布林上軌(壓回),盤中最高碰到上軌但收盤被壓回軌內＝上軌壓制、超漲拉回的逆勢空訊（多單也常用它獲利出場）
空,布林通道(20,2σ),bbMidDn,跌破布林中軌,跌破布林中軌：收盤 < 中軌＝轉弱；多單常用它當出場線
中性(兩者皆可),量能,volUp,放量,放量：這根成交量 ≥ 前20根均量的 1.5 倍（配紅K偏多／配黑K偏空）
中性(兩者皆可),量能,volSpike,爆量,爆量：這根成交量 ≥ 前20根均量的 2.5 倍（配紅K偏續攻、配黑K偏轉弱）

